2017-11-24 15:14:29.364 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 15:14:29.625 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 15:14:29.636 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 15:14:29.667 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6cf143b4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5394164c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1f440272, org.springframework.test.context.support.DirtiesContextTestExecutionListener@29fc9a67, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6fcf5ba, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@496889eb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e36c8f3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4ec3020c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@64bb8a39, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@546fd7d9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7ac412dd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5eb2aa22]
2017-11-24 15:14:48.514 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 15:14:48.538 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 15:14:48.539 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 15:14:48.789 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 15:14:48.800 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 15:14:48.824 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@681e731c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@271768ab, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@71d8c699, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4ed6a133, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cf143b4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5394164c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1f440272, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@29fc9a67, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6fcf5ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@496889eb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6e36c8f3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4ec3020c]
2017-11-24 15:15:23.292 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 15:15:23.302 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 15:15:23.303 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 15:15:23.623 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 15:15:23.636 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 15:15:23.694 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1f440272, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@29fc9a67, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6fcf5ba, org.springframework.test.context.support.DirtiesContextTestExecutionListener@496889eb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6e36c8f3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4ec3020c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@64bb8a39, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@546fd7d9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7ac412dd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5eb2aa22, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@23bfcec0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@59eb196]
